time,latitude,longitude,distanceinmeters,heartrate,HHMMSS,meters,seconds,mph
2021-05-18T23:25:48.000Z,32.889696545898914,-117.13074878789485,0.009999999776482582,92,23:25:48.000Z,0.0,0,0.0
2021-05-18T23:25:49.000Z,32.889693612232804,-117.13074174709618,0.07999999821186066,90,23:25:49.000Z,0.06999999843537807,1,0.15658999649994076
2021-05-18T23:25:55.000Z,32.88974893279374,-117.13072531856596,6.130000114440918,90,23:25:55.000Z,6.050000116229057,6,2.2556417100007335
2021-05-18T23:26:15.000Z,32.89015428163111,-117.13086823001504,58.630001068115234,92,23:26:15.000Z,52.500000953674316,20,5.872125106668472
2021-05-18T23:26:19.000Z,32.89026861079037,-117.13092111982405,72.62999725341797,95,23:26:19.000Z,13.999996185302734,4,7.829497866630555
2021-05-18T23:26:20.000Z,32.89030658081174,-117.13091969490051,76.83000183105469,102,23:26:20.000Z,4.200004577636719,1,9.39541024017334
2021-05-18T23:26:22.000Z,32.890385035425425,-117.13091500103474,85.55000305175781,108,23:26:22.000Z,8.720001220703125,2,9.753321365356445
2021-05-18T23:26:28.000Z,32.890634229406714,-117.13090376928449,113.19999694824219,111,23:26:28.000Z,27.649993896484375,6,10.308839391072592
2021-05-18T23:26:31.000Z,32.890763813629746,-117.13090402074158,127.56999969482422,114,23:26:31.000Z,14.370002746582031,3,10.715232048034668
2021-05-18T23:26:33.000Z,32.89083288051188,-117.13088876567781,135.38999938964844,124,23:26:33.000Z,7.819999694824219,2,8.746669658660888
2021-05-18T23:26:34.000Z,32.89088116027415,-117.13083973154426,142.5399932861328,125,23:26:34.000Z,7.149993896484375,1,15.994536346435547
2021-05-18T23:26:38.000Z,32.89090370759368,-117.13071190752089,154.8699951171875,123,23:26:38.000Z,12.330001831054688,4,6.895553524017334
2021-05-18T23:26:39.000Z,32.890901109203696,-117.13065784424543,159.94000244140625,130,23:26:39.000Z,5.07000732421875,1,11.341606384277345
2021-05-18T23:26:40.000Z,32.89089675061405,-117.13059984147549,165.3800048828125,133,23:26:40.000Z,5.44000244140625,1,12.169285461425781
2021-05-18T23:26:41.000Z,32.89089021272957,-117.13053773157299,171.24000549316406,133,23:26:41.000Z,5.8600006103515625,1,13.108821365356446
2021-05-18T23:26:42.000Z,32.89088434539735,-117.13047453202307,177.19000244140625,137,23:26:42.000Z,5.9499969482421875,1,13.310143173217774
2021-05-18T23:26:44.000Z,32.89087747223675,-117.13034737855196,189.10000610351562,139,23:26:44.000Z,11.910003662109375,2,13.321339096069337
2021-05-18T23:26:49.000Z,32.89087696932256,-117.12999684736133,221.88999938964844,145,23:26:49.000Z,32.78999328613281,5,14.670242996215821
2021-05-18T23:26:54.000Z,32.89087101817131,-117.12966475635767,252.97000122070312,140,23:26:54.000Z,31.080001831054688,5,13.905192819213868
2021-05-18T23:26:55.000Z,32.89087194018066,-117.1296061668545,258.4599914550781,136,23:26:55.000Z,5.489990234375,1,12.281108154296875
2021-05-18T23:26:57.000Z,32.890872694551945,-117.12949980050325,268.4100036621094,136,23:26:57.000Z,9.95001220703125,2,11.129088653564454
2021-05-18T23:26:58.000Z,32.890860037878156,-117.12945571169257,272.75,140,23:26:58.000Z,4.339996337890625,1,9.708571807861329
2021-05-18T23:26:59.000Z,32.890836065635085,-117.12941883131862,277.1000061035156,144,23:26:59.000Z,4.350006103515625,1,9.730963653564453
2021-05-18T23:27:00.000Z,32.89080052636564,-117.12939133867621,281.79998779296875,141,23:27:00.000Z,4.699981689453125,1,10.513859039306642
2021-05-18T23:27:01.000Z,32.89071561768651,-117.12936342693865,291.6099853515625,141,23:27:01.000Z,9.80999755859375,1,21.94496453857422
2021-05-18T23:27:04.000Z,32.89061947725713,-117.12935873307288,302.2900085449219,141,23:27:04.000Z,10.680023193359375,3,7.963737294514974
2021-05-18T23:27:05.000Z,32.89056801237166,-117.12936342693865,308.010009765625,146,23:27:05.000Z,5.720001220703125,1,12.795642730712892
2021-05-18T23:27:14.000Z,32.890092842280865,-117.12940734811127,360.8399963378906,149,23:27:14.000Z,52.829986572265625,9,13.131186662462024
2021-05-18T23:27:15.000Z,32.890037186443806,-117.12941145524383,367.0299987792969,152,23:27:15.000Z,6.19000244140625,1,13.847035461425781
2021-05-18T23:27:22.000Z,32.88964055478573,-117.12940977886319,411.0299987792969,149,23:27:22.000Z,44.0,7,14.061142857142858
2021-05-18T23:27:29.000Z,32.88925372995436,-117.1293952781707,453.9700012207031,143,23:27:29.000Z,42.94000244140625,7,13.722397923060827
2021-05-18T23:27:34.000Z,32.88910394534469,-117.12945453822613,471.95001220703125,147,23:27:34.000Z,17.980010986328125,5,8.044256915283203
2021-05-18T23:27:38.000Z,32.88909036666155,-117.129633910954,488.9599914550781,144,23:27:38.000Z,17.009979248046875,4,9.512830894470214
2021-05-18T23:27:40.000Z,32.889094138517976,-117.12974505499005,499.3699951171875,141,23:27:40.000Z,10.410003662109375,2,11.643589096069336
2021-05-18T23:27:42.000Z,32.88909497670829,-117.12986047379673,510.1600036621094,129,23:27:42.000Z,10.790008544921875,2,12.068624557495118
2021-05-18T23:27:43.000Z,32.88909547962248,-117.12991931475699,515.6699829101562,130,23:27:43.000Z,5.509979248046875,1,12.32582357788086
2021-05-18T23:27:47.000Z,32.88909866474569,-117.13015895336866,538.0900268554688,127,23:27:47.000Z,22.4200439453125,4,12.538409576416017
2021-05-18T23:27:56.000Z,32.889099000021815,-117.13069640100002,588.3800048828125,126,23:27:56.000Z,50.28997802734375,9,12.499853427463108
