time,latitude,longitude,distanceinmeters,heartrate,HHMMSS,meters,seconds,mph
2021-05-18T22:23:27.000Z,32.883947398513556,-117.13013364002109,0.0,65,22:23:27.000Z,0.0,0,0.0
2021-05-18T22:23:29.000Z,32.88394019007683,-117.13027152232826,12.930000305175781,65,22:23:29.000Z,12.930000305175781,2,14.462205341339113
2021-05-18T22:23:35.000Z,32.88390154950321,-117.13085079565644,67.33000183105469,65,22:23:35.000Z,54.400001525878906,6,20.282133902231855
2021-05-18T22:24:00.000Z,32.88386550731957,-117.13095154613256,80.58999633789062,68,22:24:00.000Z,13.259994506835938,25,1.1865043084716798
2021-05-18T22:24:44.000Z,32.88386441767216,-117.13099035434425,84.11000061035156,68,22:24:44.000Z,3.5200042724609375,44,0.17896021721579813
2021-05-18T22:24:47.000Z,32.88385385647416,-117.13112019002438,96.37999725341797,67,22:24:47.000Z,12.269996643066406,3,9.149327496846517
2021-05-18T22:24:49.000Z,32.88378898054361,-117.13121599517763,108.08000183105469,67,22:24:49.000Z,11.700004577636719,2,13.08645512008667
2021-05-18T22:24:51.000Z,32.88366409018636,-117.13124910369515,122.29000091552734,67,22:24:51.000Z,14.209999084472656,2,15.893883975982666
2021-05-18T22:24:56.000Z,32.88319763727486,-117.13122814893723,174.10000610351562,67,22:24:56.000Z,51.81000518798828,5,23.179796321105957
2021-05-18T22:25:00.000Z,32.88271978497505,-117.13117609731853,227.30999755859375,66,22:25:00.000Z,53.209991455078125,4,29.75768772125244
2021-05-18T22:25:04.000Z,32.88221972063184,-117.13111222721636,283.0799865722656,64,22:25:04.000Z,55.769989013671875,4,31.189366355896
2021-05-18T22:25:08.000Z,32.881656205281615,-117.13102715089917,346.07000732421875,67,22:25:08.000Z,62.990020751953125,4,35.22716910552979
2021-05-18T22:25:12.000Z,32.88105245679617,-117.1309429127723,413.4800109863281,66,22:25:12.000Z,67.41000366210938,4,37.69904454803467
2021-05-18T22:25:15.000Z,32.880576783791184,-117.13088348507881,466.5199890136719,67,22:25:15.000Z,53.03997802734375,3,39.55014361572266
2021-05-18T22:25:18.000Z,32.88008904084563,-117.13081894442439,520.9299926757812,67,22:25:18.000Z,54.410003662109375,3,40.57172606404623
2021-05-18T22:25:22.000Z,32.87951580248773,-117.1307428367436,584.8900146484375,67,22:25:22.000Z,63.96002197265625,4,35.76964228820801
2021-05-18T22:25:27.000Z,32.87897567264736,-117.13066907599568,645.2100219726562,66,22:25:27.000Z,60.32000732421875,5,26.98717127685547
2021-05-18T22:25:33.000Z,32.87846563383937,-117.1306059602648,702.0599975585938,67,22:25:33.000Z,56.8499755859375,6,21.195565897623702
2021-05-18T22:25:47.000Z,32.8781982511282,-117.13056572712958,732.219970703125,64,22:25:47.000Z,30.15997314453125,14,4.819132851736887
2021-05-18T22:25:48.000Z,32.878178637474775,-117.13056522421539,734.3800048828125,64,22:25:48.000Z,2.1600341796875,1,4.831996459960938
2021-05-18T22:25:55.000Z,32.878051148727536,-117.13068273849785,753.8900146484375,64,22:25:55.000Z,19.510009765625,7,6.234841692243304
2021-05-18T22:26:01.000Z,32.877930365502834,-117.13124105706811,807.8800048828125,65,22:26:01.000Z,53.989990234375,6,20.129268025716147
2021-05-18T22:26:06.000Z,32.87780312821269,-117.13188696652651,869.9500122070312,66,22:26:06.000Z,62.07000732421875,5,27.77012127685547
2021-05-18T22:26:10.000Z,32.87768988870084,-117.13243790902197,923.010009765625,67,22:26:10.000Z,53.05999755859375,4,29.673803634643555
2021-05-18T22:26:14.000Z,32.87758260034025,-117.13297988288105,975.0999755859375,68,22:26:14.000Z,52.0899658203125,4,29.13131338500977
2021-05-18T22:26:18.000Z,32.877468103542924,-117.13353250175714,1028.3599853515625,68,22:26:18.000Z,53.260009765625,4,29.78566046142578
2021-05-18T22:26:22.000Z,32.87735989317298,-117.13406768627465,1079.8499755859375,69,22:26:22.000Z,51.489990234375,4,28.79577703857422
2021-05-18T22:26:27.000Z,32.877227207645774,-117.1346569340676,1136.9300537109375,70,22:26:27.000Z,57.080078125,5,25.537626953125002
2021-05-18T22:26:36.000Z,32.87710198201239,-117.13520008139312,1189.6600341796875,72,22:26:36.000Z,52.72998046875,9,13.106329589843751
2021-05-18T22:26:41.000Z,32.87696996703744,-117.13577767834067,1245.6600341796875,73,22:26:41.000Z,56.0,5,25.0544
2021-05-18T22:26:45.000Z,32.8768580686301,-117.13630003854632,1296.0999755859375,74,22:26:45.000Z,50.43994140625,4,28.208537231445312
2021-05-18T22:26:50.000Z,32.876704009249806,-117.13694360107183,1358.699951171875,73,22:26:50.000Z,62.5999755859375,5,28.00722907714844
2021-05-18T22:26:55.000Z,32.87655673921108,-117.13755564764142,1418.260009765625,72,22:26:55.000Z,59.56005859375,5,26.64717021484375
2021-05-18T22:27:00.000Z,32.87645707838237,-117.13807960040867,1468.550048828125,71,22:27:00.000Z,50.2900390625,5,22.4997634765625
