time,latitude,longitude,mph,Transport
2021-05-18T23:37:50.000Z,32.8896954562515,-117.13077301159501,0.0,1.0
2021-05-18T23:37:51.000Z,32.88969587534666,-117.13077301159501,0.11185000166669488,1.0
2021-05-18T23:38:03.000Z,32.88970031775534,-117.13077175430954,0.4324866792224348,1.0
2021-05-18T23:38:18.000Z,32.889631167054176,-117.1308303438127,1.8984673006216686,0.0
2021-05-18T23:38:24.000Z,32.889571487903595,-117.1308342833072,2.4718853982289635,0.0
2021-05-18T23:38:26.000Z,32.88955070078373,-117.13083813898265,2.61728803730011,0.0
2021-05-18T23:38:32.000Z,32.889484986662865,-117.13084601797163,2.7328683048884073,0.0
2021-05-18T23:38:33.000Z,32.889472832903266,-117.13084945455194,3.0870623893737794,0.0
2021-05-18T23:38:36.000Z,32.889438634738326,-117.1308533102274,2.840991024017334,0.0
2021-05-18T23:38:40.000Z,32.889396054670215,-117.13085498660803,2.639658549308777,0.0
2021-05-18T23:38:50.000Z,32.889286084100604,-117.13084870018065,2.7090071365356447,0.0
2021-05-18T23:38:51.000Z,32.889266051352024,-117.13084870018065,4.966142730712891,0.0
2021-05-18T23:38:52.000Z,32.889266051352024,-117.13084870018065,0.0,2.0
2021-05-18T23:38:54.000Z,32.889247946441174,-117.13085113093257,2.2481831226348876,0.0
2021-05-18T23:38:55.000Z,32.88924040272832,-117.13085406459868,1.9909286346435549,0.0
2021-05-18T23:38:57.000Z,32.88921995088458,-117.13085884228349,2.561366024017334,0.0
2021-05-18T23:39:08.000Z,32.88914862088859,-117.13090192526579,1.8221379956332122,0.0
2021-05-18T23:39:13.000Z,32.88914577104151,-117.13091650977731,0.6934713653564454,1.0
2021-05-18T23:39:16.000Z,32.88915012963116,-117.13094886392355,2.2891964391072595,0.0
2021-05-18T23:39:17.000Z,32.88915105164051,-117.13096311315894,2.9752140960693363,0.0
2021-05-18T23:39:22.000Z,32.889157589524984,-117.13103796355426,3.154167951965332,0.0
2021-05-18T23:39:29.000Z,32.889167815446854,-117.13115103542805,3.4002398049490794,0.0
